Time	Node	Interface	Type	Packets	Kilobytes	PacketsRaw	KilobytesRaw
2.5	Rtr2	combined	Drop	3	4	1	1.04395
2.5	Rtr3	combined	Drop	0	0	0	0
2.5	Rtr4	combined	Drop	0	0	0	0
2.5	Rtr5	combined	Drop	7	8	2	2.08984
2.5	Rtr6	combined	Drop	11	11	5	5.22461
2.5	Rtr7	combined	Drop	133	139	77	80.459
2.5	Rtr8	combined	Drop	4078	4261	2079	2172.35
2.5	Rtr9	combined	Drop	5775	6034	3088	3226.66
2.5	Rtr10	combined	Drop	0	0	0	0
2.5	Rtr11	combined	Drop	0	0	0	0
2.5	Rtr12	combined	Drop	211	221	89	92.9971
2.5	Rtr13	combined	Drop	0	0	0	0
2.5	Rtr14	combined	Drop	94	98	40	41.7949
2.5	Rtr15	combined	Drop	115	120	61	63.7383
2.5	Rtr16	combined	Drop	0	0	0	0
2.5	Rtr17	combined	Drop	0	0	0	0
2.5	Rtr18	combined	Drop	126	132	52	54.335
2.5	Rtr19	combined	Drop	0	0	0	0
2.5	Src1	combined	Drop	0	0	0	0
2.5	Src2	combined	Drop	51	53	32	33.4355
2.5	Src3	combined	Drop	0	0	0	0
2.5	Src4	combined	Drop	0	0	0	0
2.5	Src5	combined	Drop	0	0	0	0
2.5	Dst1	combined	Drop	31414	32824	16232	16960.8
2.5	Dst2	combined	Drop	9317	9735	4735	4947.65
2.5	Dst3	combined	Drop	22332	23335	11161	11662.2
3	Rtr1	combined	Drop	0	0	0	0
3	Rtr2	combined	Drop	0	0	0	0
3	Rtr3	combined	Drop	0	0	0	0
3	Rtr4	combined	Drop	14	15	9	9.4043
3	Rtr5	combined	Drop	92	96	57	59.5605
3	Rtr6	combined	Drop	37	38	22	22.9883
3	Rtr7	combined	Drop	65	67	24	25.0781
3	Rtr8	combined	Drop	4690	4901	2422	2530.76
3	Rtr9	combined	Drop	5807	6068	2908	3038.6
3	Rtr10	combined	Drop	0	0	0	0
3	Rtr11	combined	Drop	0	0	0	0
3	Rtr12	combined	Drop	274	286	145	151.513
3	Rtr13	combined	Drop	0	0	0	0
3	Rtr14	combined	Drop	89	93	44	45.9756
3	Rtr15	combined	Drop	71	74	30	31.3477
3	Rtr16	combined	Drop	0	0	0	0
3	Rtr17	combined	Drop	0	0	0	0
3	Rtr18	combined	Drop	25	26	0	0
3	Rtr19	combined	Drop	0	0	0	0
3	Src1	combined	Drop	0	0	0	0
3	Src2	combined	Drop	10	10	0	0
3	Src3	combined	Drop	0	0	0	0
3	Src4	combined	Drop	0	0	0	0
3	Src5	combined	Drop	0	0	0	0
3	Dst1	combined	Drop	30063	31413	14863	15530.4
3	Dst2	combined	Drop	9791	10231	4955	5177.55
3	Dst3	combined	Drop	21088	22035	10389	10855.6
3.5	Rtr1	combined	Drop	0	0	0	0
3.5	Rtr2	combined	Drop	12	13	8	8.35938
3.5	Rtr3	combined	Drop	0	0	0	0
3.5	Rtr4	combined	Drop	2	2	0	0
3.5	Rtr5	combined	Drop	61	64	27	28.2109
3.5	Rtr6	combined	Drop	7	7	0	0
3.5	Rtr7	combined	Drop	38	40	16	16.7188
3.5	Rtr8	combined	Drop	5315	5554	2736	2858.88
3.5	Rtr9	combined	Drop	4017	4197	1785	1865.16
3.5	Rtr10	combined	Drop	0	0	0	0
3.5	Rtr11	combined	Drop	0	0	0	0
3.5	Rtr12	combined	Drop	238	249	115	120.166
3.5	Rtr13	combined	Drop	0	0	0	0
3.5	Rtr14	combined	Drop	35	36	11	11.4941
3.5	Rtr15	combined	Drop	14	14	0	0
3.5	Rtr16	combined	Drop	0	0	0	0
3.5	Rtr17	combined	Drop	0	0	0	0
3.5	Rtr18	combined	Drop	155	162	94	98.2227
3.5	Rtr19	combined	Drop	0	0	0	0
3.5	Src1	combined	Drop	0	0	0	0
3.5	Src2	combined	Drop	1	1	0	0
3.5	Src3	combined	Drop	0	0	0	0
3.5	Src4	combined	Drop	0	0	0	0
3.5	Src5	combined	Drop	0	0	0	0
3.5	Dst1	combined	Drop	28531	29812	14074	14705.9
3.5	Dst2	combined	Drop	7244	7570	3304	3452.39
3.5	Dst3	combined	Drop	20350	21264	10083	10535.9
4	Rtr1	combined	Drop	0	0	0	0
4	Rtr2	combined	Drop	21	22	12	12.5391
4	Rtr3	combined	Drop	0	0	0	0
4	Rtr4	combined	Drop	0	0	0	0
4	Rtr5	combined	Drop	17	17	3	3.13477
4	Rtr6	combined	Drop	3	3	1	1.04492
4	Rtr7	combined	Drop	7	7	0	0
4	Rtr8	combined	Drop	4443	4643	2113	2207.91
4	Rtr9	combined	Drop	5462	5707	2912	3042.79
4	Rtr10	combined	Drop	0	0	0	0
4	Rtr11	combined	Drop	0	0	0	0
4	Rtr12	combined	Drop	170	178	77	80.459
4	Rtr13	combined	Drop	0	0	0	0
4	Rtr14	combined	Drop	35	37	18	18.8086
4	Rtr15	combined	Drop	2	2	0	0
4	Rtr16	combined	Drop	0	0	0	0
4	Rtr17	combined	Drop	0	0	0	0
4	Rtr18	combined	Drop	91	95	38	39.7041
4	Rtr19	combined	Drop	0	0	0	0
4	Src1	combined	Drop	0	0	0	0
4	Src2	combined	Drop	89	93	56	58.5156
4	Src3	combined	Drop	0	0	0	0
4	Src4	combined	Drop	0	0	0	0
4	Src5	combined	Drop	0	0	0	0
4	Dst1	combined	Drop	34109	35641	17752	18549.3
4	Dst2	combined	Drop	10572	11046	5702	5958.1
4	Dst3	combined	Drop	18422	19249	8970	9372.88
4.5	Rtr1	combined	Drop	0	0	0	0
4.5	Rtr2	combined	Drop	4	4	0	0
4.5	Rtr3	combined	Drop	0	0	0	0
4.5	Rtr4	combined	Drop	3	3	2	2.08984
4.5	Rtr5	combined	Drop	3	3	0	0
4.5	Rtr6	combined	Drop	0	0	0	0
4.5	Rtr7	combined	Drop	1	1	0	0
4.5	Rtr8	combined	Drop	5099	5328	2632	2750.22
4.5	Rtr9	combined	Drop	4433	4632	2088	2181.76
4.5	Rtr10	combined	Drop	0	0	0	0
4.5	Rtr11	combined	Drop	0	0	0	0
4.5	Rtr12	combined	Drop	118	124	53	55.3789
4.5	Rtr13	combined	Drop	0	0	0	
